BetterThanMed,WorseThanMed,Percentage,ProbOfMiss
6001,4674,56.22% - 43.78%,26.53
6002,4673,56.22% - 43.78%,26.52
6003,4672,56.23% - 43.77%,26.51
6004,4671,56.24% - 43.76%,26.5
6005,4670,56.25% - 43.75%,26.5
6006,4669,56.26% - 43.74%,26.49
6007,4668,56.27% - 43.73%,26.48
6008,4667,56.28% - 43.72%,26.47
6009,4666,56.29% - 43.71%,26.46
6010,4665,56.3% - 43.7%,26.46
6011,4664,56.31% - 43.69%,26.45
6012,4663,56.32% - 43.68%,26.44
6013,4662,56.33% - 43.67%,26.43
6014,4661,56.34% - 43.66%,26.42
6015,4660,56.35% - 43.65%,26.41
6016,4659,56.36% - 43.64%,26.41
6017,4658,56.37% - 43.63%,26.4
6018,4657,56.37% - 43.63%,26.39
6019,4656,56.38% - 43.62%,26.38
6020,4655,56.39% - 43.61%,26.37
6021,4654,56.4% - 43.6%,26.37
6022,4653,56.41% - 43.59%,26.36
6023,4652,56.42% - 43.58%,26.35
6024,4651,56.43% - 43.57%,26.34
6025,4650,56.44% - 43.56%,26.33
6026,4649,56.45% - 43.55%,26.32
6027,4648,56.46% - 43.54%,26.32
6028,4647,56.47% - 43.53%,26.31
6029,4646,56.48% - 43.52%,26.3
6030,4645,56.49% - 43.51%,26.29
6031,4644,56.5% - 43.5%,26.28
6032,4643,56.51% - 43.49%,26.27
6033,4642,56.52% - 43.48%,26.27
6034,4641,56.52% - 43.48%,26.26
6035,4640,56.53% - 43.47%,26.25
6036,4639,56.54% - 43.46%,26.24
6037,4638,56.55% - 43.45%,26.23
6038,4637,56.56% - 43.44%,26.22
6039,4636,56.57% - 43.43%,26.22
6040,4635,56.58% - 43.42%,26.21
6041,4634,56.59% - 43.41%,26.2
6042,4633,56.6% - 43.4%,26.19
6043,4632,56.61% - 43.39%,26.18
6044,4631,56.62% - 43.38%,26.18
6045,4630,56.63% - 43.37%,26.17
6046,4629,56.64% - 43.36%,26.16
6047,4628,56.65% - 43.35%,26.15
6048,4627,56.66% - 43.34%,26.14
6049,4626,56.67% - 43.33%,26.13
6050,4625,56.67% - 43.33%,26.13
6051,4624,56.68% - 43.32%,26.12
6052,4623,56.69% - 43.31%,26.11
6053,4622,56.7% - 43.3%,26.1
6054,4621,56.71% - 43.29%,26.09
6055,4620,56.72% - 43.28%,26.08
6056,4619,56.73% - 43.27%,26.08
6057,4618,56.74% - 43.26%,26.07
6058,4617,56.75% - 43.25%,26.06
6059,4616,56.76% - 43.24%,26.05
6060,4615,56.77% - 43.23%,26.04
6061,4614,56.78% - 43.22%,26.03
6062,4613,56.79% - 43.21%,26.03
6063,4612,56.8% - 43.2%,26.02
6064,4611,56.81% - 43.19%,26.01
6065,4610,56.81% - 43.19%,26.0
6066,4609,56.82% - 43.18%,25.99
6067,4608,56.83% - 43.17%,25.98
6068,4607,56.84% - 43.16%,25.98
6069,4606,56.85% - 43.15%,25.97
6070,4605,56.86% - 43.14%,25.96
6071,4604,56.87% - 43.13%,25.95
6072,4603,56.88% - 43.12%,25.94
6073,4602,56.89% - 43.11%,25.93
6074,4601,56.9% - 43.1%,25.93
6075,4600,56.91% - 43.09%,25.92
6076,4599,56.92% - 43.08%,25.91
6077,4598,56.93% - 43.07%,25.9
6078,4597,56.94% - 43.06%,25.89
6079,4596,56.95% - 43.05%,25.88
6080,4595,56.96% - 43.04%,25.87
6081,4594,56.96% - 43.04%,25.87
6082,4593,56.97% - 43.03%,25.86
6083,4592,56.98% - 43.02%,25.85
6084,4591,56.99% - 43.01%,25.84
6085,4590,57.0% - 43.0%,25.83
6086,4589,57.01% - 42.99%,25.82
6087,4588,57.02% - 42.98%,25.82
6088,4587,57.03% - 42.97%,25.81
6089,4586,57.04% - 42.96%,25.8
6090,4585,57.05% - 42.95%,25.79
6091,4584,57.06% - 42.94%,25.78
6092,4583,57.07% - 42.93%,25.77
6093,4582,57.08% - 42.92%,25.77
6094,4581,57.09% - 42.91%,25.76
6095,4580,57.1% - 42.9%,25.75
6096,4579,57.11% - 42.89%,25.74
6097,4578,57.11% - 42.89%,25.73
6098,4577,57.12% - 42.88%,25.72
6099,4576,57.13% - 42.87%,25.72
6100,4575,57.14% - 42.86%,25.71
6101,4574,57.15% - 42.85%,25.7
6102,4573,57.16% - 42.84%,25.69
6103,4572,57.17% - 42.83%,25.68
6104,4571,57.18% - 42.82%,25.67
6105,4570,57.19% - 42.81%,25.66
6106,4569,57.2% - 42.8%,25.66
6107,4568,57.21% - 42.79%,25.65
6108,4567,57.22% - 42.78%,25.64
6109,4566,57.23% - 42.77%,25.63
6110,4565,57.24% - 42.76%,25.62
6111,4564,57.25% - 42.75%,25.61
6112,4563,57.26% - 42.74%,25.61
6113,4562,57.26% - 42.74%,25.6
6114,4561,57.27% - 42.73%,25.59
6115,4560,57.28% - 42.72%,25.58
6116,4559,57.29% - 42.71%,25.57
6117,4558,57.3% - 42.7%,25.56
6118,4557,57.31% - 42.69%,25.55
6119,4556,57.32% - 42.68%,25.55
6120,4555,57.33% - 42.67%,25.54
6121,4554,57.34% - 42.66%,25.53
6122,4553,57.35% - 42.65%,25.52
6123,4552,57.36% - 42.64%,25.51
6124,4551,57.37% - 42.63%,25.5
6125,4550,57.38% - 42.62%,25.5
6126,4549,57.39% - 42.61%,25.49
6127,4548,57.4% - 42.6%,25.48
6128,4547,57.41% - 42.59%,25.47
6129,4546,57.41% - 42.59%,25.46
6130,4545,57.42% - 42.58%,25.45
6131,4544,57.43% - 42.57%,25.44
6132,4543,57.44% - 42.56%,25.44
6133,4542,57.45% - 42.55%,25.43
6134,4541,57.46% - 42.54%,25.42
6135,4540,57.47% - 42.53%,25.41
6136,4539,57.48% - 42.52%,25.4
6137,4538,57.49% - 42.51%,25.39
6138,4537,57.5% - 42.5%,25.38
6139,4536,57.51% - 42.49%,25.38
6140,4535,57.52% - 42.48%,25.37
6141,4534,57.53% - 42.47%,25.36
6142,4533,57.54% - 42.46%,25.35
6143,4532,57.55% - 42.45%,25.34
6144,4531,57.56% - 42.44%,25.33
6145,4530,57.56% - 42.44%,25.32
6146,4529,57.57% - 42.43%,25.32
6147,4528,57.58% - 42.42%,25.31
6148,4527,57.59% - 42.41%,25.3
6149,4526,57.6% - 42.4%,25.29
6150,4525,57.61% - 42.39%,25.28
6151,4524,57.62% - 42.38%,25.27
6152,4523,57.63% - 42.37%,25.27
6153,4522,57.64% - 42.36%,25.26
6154,4521,57.65% - 42.35%,25.25
6155,4520,57.66% - 42.34%,25.24
6156,4519,57.67% - 42.33%,25.23
6157,4518,57.68% - 42.32%,25.22
6158,4517,57.69% - 42.31%,25.21
6159,4516,57.7% - 42.3%,25.21
6160,4515,57.7% - 42.3%,25.2
6161,4514,57.71% - 42.29%,25.19
6162,4513,57.72% - 42.28%,25.18
6163,4512,57.73% - 42.27%,25.17
6164,4511,57.74% - 42.26%,25.16
6165,4510,57.75% - 42.25%,25.15
6166,4509,57.76% - 42.24%,25.15
6167,4508,57.77% - 42.23%,25.14
6168,4507,57.78% - 42.22%,25.13
6169,4506,57.79% - 42.21%,25.12
6170,4505,57.8% - 42.2%,25.11
6171,4504,57.81% - 42.19%,25.1
6172,4503,57.82% - 42.18%,25.09
6173,4502,57.83% - 42.17%,25.09
6174,4501,57.84% - 42.16%,25.08
6175,4500,57.85% - 42.15%,25.07
6176,4499,57.85% - 42.15%,25.06
6177,4498,57.86% - 42.14%,25.05
6178,4497,57.87% - 42.13%,25.04
6179,4496,57.88% - 42.12%,25.03
6180,4495,57.89% - 42.11%,25.02
6181,4494,57.9% - 42.1%,25.02
6182,4493,57.91% - 42.09%,25.01
6183,4492,57.92% - 42.08%,25.0
6184,4491,57.93% - 42.07%,24.99
6185,4490,57.94% - 42.06%,24.98
6186,4489,57.95% - 42.05%,24.97
6187,4488,57.96% - 42.04%,24.96
6188,4487,57.97% - 42.03%,24.96
6189,4486,57.98% - 42.02%,24.95
6190,4485,57.99% - 42.01%,24.94
6191,4484,58.0% - 42.0%,24.93
6192,4483,58.0% - 42.0%,24.92
6193,4482,58.01% - 41.99%,24.91
6194,4481,58.02% - 41.98%,24.9
6195,4480,58.03% - 41.97%,24.9
6196,4479,58.04% - 41.96%,24.89
6197,4478,58.05% - 41.95%,24.88
6198,4477,58.06% - 41.94%,24.87
6199,4476,58.07% - 41.93%,24.86
6200,4475,58.08% - 41.92%,24.85
6201,4474,58.09% - 41.91%,24.84
6202,4473,58.1% - 41.9%,24.84
6203,4472,58.11% - 41.89%,24.83
6204,4471,58.12% - 41.88%,24.82
6205,4470,58.13% - 41.87%,24.81
6206,4469,58.14% - 41.86%,24.8
6207,4468,58.15% - 41.85%,24.79
6208,4467,58.15% - 41.85%,24.78
6209,4466,58.16% - 41.84%,24.77
6210,4465,58.17% - 41.83%,24.77
6211,4464,58.18% - 41.82%,24.76
6212,4463,58.19% - 41.81%,24.75
6213,4462,58.2% - 41.8%,24.74
6214,4461,58.21% - 41.79%,24.73
6215,4460,58.22% - 41.78%,24.72
6216,4459,58.23% - 41.77%,24.71
6217,4458,58.24% - 41.76%,24.71
6218,4457,58.25% - 41.75%,24.7
6219,4456,58.26% - 41.74%,24.69
6220,4455,58.27% - 41.73%,24.68
6221,4454,58.28% - 41.72%,24.67
6222,4453,58.29% - 41.71%,24.66
6223,4452,58.3% - 41.7%,24.65
6224,4451,58.3% - 41.7%,24.64
6225,4450,58.31% - 41.69%,24.64
6226,4449,58.32% - 41.68%,24.63
6227,4448,58.33% - 41.67%,24.62
6228,4447,58.34% - 41.66%,24.61
6229,4446,58.35% - 41.65%,24.6
6230,4445,58.36% - 41.64%,24.59
6231,4444,58.37% - 41.63%,24.58
6232,4443,58.38% - 41.62%,24.57
6233,4442,58.39% - 41.61%,24.57
6234,4441,58.4% - 41.6%,24.56
6235,4440,58.41% - 41.59%,24.55
6236,4439,58.42% - 41.58%,24.54
6237,4438,58.43% - 41.57%,24.53
6238,4437,58.44% - 41.56%,24.52
6239,4436,58.44% - 41.56%,24.51
6240,4435,58.45% - 41.55%,24.5
6241,4434,58.46% - 41.54%,24.5
6242,4433,58.47% - 41.53%,24.49
6243,4432,58.48% - 41.52%,24.48
6244,4431,58.49% - 41.51%,24.47
6245,4430,58.5% - 41.5%,24.46
6246,4429,58.51% - 41.49%,24.45
6247,4428,58.52% - 41.48%,24.44
6248,4427,58.53% - 41.47%,24.44
6249,4426,58.54% - 41.46%,24.43
6250,4425,58.55% - 41.45%,24.42
6251,4424,58.56% - 41.44%,24.41
6252,4423,58.57% - 41.43%,24.4
6253,4422,58.58% - 41.42%,24.39
6254,4421,58.59% - 41.41%,24.38
6255,4420,58.59% - 41.41%,24.37
6256,4419,58.6% - 41.4%,24.37
6257,4418,58.61% - 41.39%,24.36
6258,4417,58.62% - 41.38%,24.35
6259,4416,58.63% - 41.37%,24.34
6260,4415,58.64% - 41.36%,24.33
6261,4414,58.65% - 41.35%,24.32
6262,4413,58.66% - 41.34%,24.31
6263,4412,58.67% - 41.33%,24.3
6264,4411,58.68% - 41.32%,24.3
6265,4410,58.69% - 41.31%,24.29
6266,4409,58.7% - 41.3%,24.28
6267,4408,58.71% - 41.29%,24.27
6268,4407,58.72% - 41.28%,24.26
6269,4406,58.73% - 41.27%,24.25
6270,4405,58.74% - 41.26%,24.24
6271,4404,58.74% - 41.26%,24.23
6272,4403,58.75% - 41.25%,24.22
6273,4402,58.76% - 41.24%,24.22
6274,4401,58.77% - 41.23%,24.21
6275,4400,58.78% - 41.22%,24.2
6276,4399,58.79% - 41.21%,24.19
6277,4398,58.8% - 41.2%,24.18
6278,4397,58.81% - 41.19%,24.17
6279,4396,58.82% - 41.18%,24.16
6280,4395,58.83% - 41.17%,24.15
6281,4394,58.84% - 41.16%,24.15
6282,4393,58.85% - 41.15%,24.14
6283,4392,58.86% - 41.14%,24.13
6284,4391,58.87% - 41.13%,24.12
6285,4390,58.88% - 41.12%,24.11
6286,4389,58.89% - 41.11%,24.1
6287,4388,58.89% - 41.11%,24.09
6288,4387,58.9% - 41.1%,24.08
6289,4386,58.91% - 41.09%,24.08
6290,4385,58.92% - 41.08%,24.07
6291,4384,58.93% - 41.07%,24.06
6292,4383,58.94% - 41.06%,24.05
6293,4382,58.95% - 41.05%,24.04
6294,4381,58.96% - 41.04%,24.03
6295,4380,58.97% - 41.03%,24.02
6296,4379,58.98% - 41.02%,24.01
6297,4378,58.99% - 41.01%,24.0
6298,4377,59.0% - 41.0%,24.0
6299,4376,59.01% - 40.99%,23.99
6300,4375,59.02% - 40.98%,23.98
6301,4374,59.03% - 40.97%,23.97
6302,4373,59.04% - 40.96%,23.96
6303,4372,59.04% - 40.96%,23.95
6304,4371,59.05% - 40.95%,23.94
6305,4370,59.06% - 40.94%,23.93
6306,4369,59.07% - 40.93%,23.93
6307,4368,59.08% - 40.92%,23.92
6308,4367,59.09% - 40.91%,23.91
6309,4366,59.1% - 40.9%,23.9
6310,4365,59.11% - 40.89%,23.89
6311,4364,59.12% - 40.88%,23.88
6312,4363,59.13% - 40.87%,23.87
6313,4362,59.14% - 40.86%,23.86
6314,4361,59.15% - 40.85%,23.85
6315,4360,59.16% - 40.84%,23.85
6316,4359,59.17% - 40.83%,23.84
6317,4358,59.18% - 40.82%,23.83
6318,4357,59.19% - 40.81%,23.82
6319,4356,59.19% - 40.81%,23.81
6320,4355,59.2% - 40.8%,23.8
6321,4354,59.21% - 40.79%,23.79
6322,4353,59.22% - 40.78%,23.78
6323,4352,59.23% - 40.77%,23.77
6324,4351,59.24% - 40.76%,23.77
6325,4350,59.25% - 40.75%,23.76
6326,4349,59.26% - 40.74%,23.75
6327,4348,59.27% - 40.73%,23.74
6328,4347,59.28% - 40.72%,23.73
6329,4346,59.29% - 40.71%,23.72
6330,4345,59.3% - 40.7%,23.71
6331,4344,59.31% - 40.69%,23.7
6332,4343,59.32% - 40.68%,23.69
6333,4342,59.33% - 40.67%,23.69
6334,4341,59.33% - 40.67%,23.68
6335,4340,59.34% - 40.66%,23.67
6336,4339,59.35% - 40.65%,23.66
6337,4338,59.36% - 40.64%,23.65
6338,4337,59.37% - 40.63%,23.64
6339,4336,59.38% - 40.62%,23.63
6340,4335,59.39% - 40.61%,23.62
6341,4334,59.4% - 40.6%,23.61
6342,4333,59.41% - 40.59%,23.61
6343,4332,59.42% - 40.58%,23.6
6344,4331,59.43% - 40.57%,23.59
6345,4330,59.44% - 40.56%,23.58
6346,4329,59.45% - 40.55%,23.57
6347,4328,59.46% - 40.54%,23.56
6348,4327,59.47% - 40.53%,23.55
6349,4326,59.48% - 40.52%,23.54
6350,4325,59.48% - 40.52%,23.53
6351,4324,59.49% - 40.51%,23.53
6352,4323,59.5% - 40.5%,23.52
6353,4322,59.51% - 40.49%,23.51
6354,4321,59.52% - 40.48%,23.5
6355,4320,59.53% - 40.47%,23.49
6356,4319,59.54% - 40.46%,23.48
6357,4318,59.55% - 40.45%,23.47
6358,4317,59.56% - 40.44%,23.46
6359,4316,59.57% - 40.43%,23.45
6360,4315,59.58% - 40.42%,23.45
6361,4314,59.59% - 40.41%,23.44
6362,4313,59.6% - 40.4%,23.43
6363,4312,59.61% - 40.39%,23.42
6364,4311,59.62% - 40.38%,23.41
6365,4310,59.63% - 40.37%,23.4
6366,4309,59.63% - 40.37%,23.39
6367,4308,59.64% - 40.36%,23.38
6368,4307,59.65% - 40.35%,23.37
6369,4306,59.66% - 40.34%,23.36
6370,4305,59.67% - 40.33%,23.36
6371,4304,59.68% - 40.32%,23.35
6372,4303,59.69% - 40.31%,23.34
6373,4302,59.7% - 40.3%,23.33
6374,4301,59.71% - 40.29%,23.32
6375,4300,59.72% - 40.28%,23.31
6376,4299,59.73% - 40.27%,23.3
6377,4298,59.74% - 40.26%,23.29
6378,4297,59.75% - 40.25%,23.28
6379,4296,59.76% - 40.24%,23.28
6380,4295,59.77% - 40.23%,23.27
6381,4294,59.78% - 40.22%,23.26
6382,4293,59.78% - 40.22%,23.25
6383,4292,59.79% - 40.21%,23.24
6384,4291,59.8% - 40.2%,23.23
6385,4290,59.81% - 40.19%,23.22
6386,4289,59.82% - 40.18%,23.21
6387,4288,59.83% - 40.17%,23.2
6388,4287,59.84% - 40.16%,23.19
6389,4286,59.85% - 40.15%,23.19
6390,4285,59.86% - 40.14%,23.18
6391,4284,59.87% - 40.13%,23.17
6392,4283,59.88% - 40.12%,23.16
6393,4282,59.89% - 40.11%,23.15
6394,4281,59.9% - 40.1%,23.14
6395,4280,59.91% - 40.09%,23.13
6396,4279,59.92% - 40.08%,23.12
6397,4278,59.93% - 40.07%,23.11
6398,4277,59.93% - 40.07%,23.1
6399,4276,59.94% - 40.06%,23.1
6400,4275,59.95% - 40.05%,23.09
6401,4274,59.96% - 40.04%,23.08
6402,4273,59.97% - 40.03%,23.07
6403,4272,59.98% - 40.02%,23.06
6404,4271,59.99% - 40.01%,23.05
6405,4270,60.0% - 40.0%,23.04
6406,4269,60.01% - 39.99%,23.03
6407,4268,60.02% - 39.98%,23.02
6408,4267,60.03% - 39.97%,23.01
6409,4266,60.04% - 39.96%,23.01
6410,4265,60.05% - 39.95%,23.0
6411,4264,60.06% - 39.94%,22.99
6412,4263,60.07% - 39.93%,22.98
6413,4262,60.07% - 39.93%,22.97
6414,4261,60.08% - 39.92%,22.96
6415,4260,60.09% - 39.91%,22.95
6416,4259,60.1% - 39.9%,22.94
6417,4258,60.11% - 39.89%,22.93
6418,4257,60.12% - 39.88%,22.92
6419,4256,60.13% - 39.87%,22.92
6420,4255,60.14% - 39.86%,22.91
6421,4254,60.15% - 39.85%,22.9
6422,4253,60.16% - 39.84%,22.89
6423,4252,60.17% - 39.83%,22.88
6424,4251,60.18% - 39.82%,22.87
6425,4250,60.19% - 39.81%,22.86
6426,4249,60.2% - 39.8%,22.85
6427,4248,60.21% - 39.79%,22.84
6428,4247,60.22% - 39.78%,22.83
6429,4246,60.22% - 39.78%,22.83
6430,4245,60.23% - 39.77%,22.82
6431,4244,60.24% - 39.76%,22.81
6432,4243,60.25% - 39.75%,22.8
6433,4242,60.26% - 39.74%,22.79
6434,4241,60.27% - 39.73%,22.78
6435,4240,60.28% - 39.72%,22.77
6436,4239,60.29% - 39.71%,22.76
6437,4238,60.3% - 39.7%,22.75
6438,4237,60.31% - 39.69%,22.74
6439,4236,60.32% - 39.68%,22.74
6440,4235,60.33% - 39.67%,22.73
6441,4234,60.34% - 39.66%,22.72
6442,4233,60.35% - 39.65%,22.71
6443,4232,60.36% - 39.64%,22.7
6444,4231,60.37% - 39.63%,22.69
6445,4230,60.37% - 39.63%,22.68
6446,4229,60.38% - 39.62%,22.67
6447,4228,60.39% - 39.61%,22.66
6448,4227,60.4% - 39.6%,22.65
6449,4226,60.41% - 39.59%,22.64
6450,4225,60.42% - 39.58%,22.64
6451,4224,60.43% - 39.57%,22.63
6452,4223,60.44% - 39.56%,22.62
6453,4222,60.45% - 39.55%,22.61
6454,4221,60.46% - 39.54%,22.6
6455,4220,60.47% - 39.53%,22.59
6456,4219,60.48% - 39.52%,22.58
6457,4218,60.49% - 39.51%,22.57
6458,4217,60.5% - 39.5%,22.56
6459,4216,60.51% - 39.49%,22.55
6460,4215,60.52% - 39.48%,22.54
6461,4214,60.52% - 39.48%,22.54
6462,4213,60.53% - 39.47%,22.53
6463,4212,60.54% - 39.46%,22.52
6464,4211,60.55% - 39.45%,22.51
6465,4210,60.56% - 39.44%,22.5
6466,4209,60.57% - 39.43%,22.49
6467,4208,60.58% - 39.42%,22.48
6468,4207,60.59% - 39.41%,22.47
6469,4206,60.6% - 39.4%,22.46
6470,4205,60.61% - 39.39%,22.45
6471,4204,60.62% - 39.38%,22.45
6472,4203,60.63% - 39.37%,22.44
6473,4202,60.64% - 39.36%,22.43
6474,4201,60.65% - 39.35%,22.42
6475,4200,60.66% - 39.34%,22.41
6476,4199,60.67% - 39.33%,22.4
6477,4198,60.67% - 39.33%,22.39
6478,4197,60.68% - 39.32%,22.38
6479,4196,60.69% - 39.31%,22.37
6480,4195,60.7% - 39.3%,22.36
6481,4194,60.71% - 39.29%,22.35
6482,4193,60.72% - 39.28%,22.35
6483,4192,60.73% - 39.27%,22.34
6484,4191,60.74% - 39.26%,22.33
6485,4190,60.75% - 39.25%,22.32
6486,4189,60.76% - 39.24%,22.31
6487,4188,60.77% - 39.23%,22.3
6488,4187,60.78% - 39.22%,22.29
6489,4186,60.79% - 39.21%,22.28
6490,4185,60.8% - 39.2%,22.27
6491,4184,60.81% - 39.19%,22.26
6492,4183,60.81% - 39.19%,22.25
6493,4182,60.82% - 39.18%,22.24
6494,4181,60.83% - 39.17%,22.24
6495,4180,60.84% - 39.16%,22.23
6496,4179,60.85% - 39.15%,22.22
6497,4178,60.86% - 39.14%,22.21
6498,4177,60.87% - 39.13%,22.2
6499,4176,60.88% - 39.12%,22.19
6500,4175,60.89% - 39.11%,22.18
6501,4174,60.9% - 39.1%,22.17
6502,4173,60.91% - 39.09%,22.16
6503,4172,60.92% - 39.08%,22.15
6504,4171,60.93% - 39.07%,22.14
6505,4170,60.94% - 39.06%,22.14
6506,4169,60.95% - 39.05%,22.13
6507,4168,60.96% - 39.04%,22.12
6508,4167,60.96% - 39.04%,22.11
6509,4166,60.97% - 39.03%,22.1
6510,4165,60.98% - 39.02%,22.09
6511,4164,60.99% - 39.01%,22.08
6512,4163,61.0% - 39.0%,22.07
6513,4162,61.01% - 38.99%,22.06
6514,4161,61.02% - 38.98%,22.05
6515,4160,61.03% - 38.97%,22.04
6516,4159,61.04% - 38.96%,22.04
6517,4158,61.05% - 38.95%,22.03
6518,4157,61.06% - 38.94%,22.02
6519,4156,61.07% - 38.93%,22.01
6520,4155,61.08% - 38.92%,22.0
6521,4154,61.09% - 38.91%,21.99
6522,4153,61.1% - 38.9%,21.98
6523,4152,61.11% - 38.89%,21.97
6524,4151,61.11% - 38.89%,21.96
6525,4150,61.12% - 38.88%,21.95
6526,4149,61.13% - 38.87%,21.94
6527,4148,61.14% - 38.86%,21.93
6528,4147,61.15% - 38.85%,21.93
6529,4146,61.16% - 38.84%,21.92
6530,4145,61.17% - 38.83%,21.91
6531,4144,61.18% - 38.82%,21.9
6532,4143,61.19% - 38.81%,21.89
6533,4142,61.2% - 38.8%,21.88
6534,4141,61.21% - 38.79%,21.87
6535,4140,61.22% - 38.78%,21.86
6536,4139,61.23% - 38.77%,21.85
6537,4138,61.24% - 38.76%,21.84
6538,4137,61.25% - 38.75%,21.83
6539,4136,61.26% - 38.74%,21.82
6540,4135,61.26% - 38.74%,21.82
6541,4134,61.27% - 38.73%,21.81
6542,4133,61.28% - 38.72%,21.8
6543,4132,61.29% - 38.71%,21.79
6544,4131,61.3% - 38.7%,21.78
6545,4130,61.31% - 38.69%,21.77
6546,4129,61.32% - 38.68%,21.76
6547,4128,61.33% - 38.67%,21.75
6548,4127,61.34% - 38.66%,21.74
6549,4126,61.35% - 38.65%,21.73
6550,4125,61.36% - 38.64%,21.72
6551,4124,61.37% - 38.63%,21.71
6552,4123,61.38% - 38.62%,21.71
6553,4122,61.39% - 38.61%,21.7
6554,4121,61.4% - 38.6%,21.69
6555,4120,61.41% - 38.59%,21.68
6556,4119,61.41% - 38.59%,21.67
6557,4118,61.42% - 38.58%,21.66
6558,4117,61.43% - 38.57%,21.65
6559,4116,61.44% - 38.56%,21.64
6560,4115,61.45% - 38.55%,21.63
6561,4114,61.46% - 38.54%,21.62
6562,4113,61.47% - 38.53%,21.61
6563,4112,61.48% - 38.52%,21.6
6564,4111,61.49% - 38.51%,21.6
6565,4110,61.5% - 38.5%,21.59
6566,4109,61.51% - 38.49%,21.58
6567,4108,61.52% - 38.48%,21.57
6568,4107,61.53% - 38.47%,21.56
6569,4106,61.54% - 38.46%,21.55
6570,4105,61.55% - 38.45%,21.54
6571,4104,61.56% - 38.44%,21.53
6572,4103,61.56% - 38.44%,21.52
6573,4102,61.57% - 38.43%,21.51
6574,4101,61.58% - 38.42%,21.5
6575,4100,61.59% - 38.41%,21.49
6576,4099,61.6% - 38.4%,21.49
6577,4098,61.61% - 38.39%,21.48
6578,4097,61.62% - 38.38%,21.47
6579,4096,61.63% - 38.37%,21.46
6580,4095,61.64% - 38.36%,21.45
6581,4094,61.65% - 38.35%,21.44
6582,4093,61.66% - 38.34%,21.43
6583,4092,61.67% - 38.33%,21.42
6584,4091,61.68% - 38.32%,21.41
6585,4090,61.69% - 38.31%,21.4
6586,4089,61.7% - 38.3%,21.39
6587,4088,61.7% - 38.3%,21.38
6588,4087,61.71% - 38.29%,21.37
6589,4086,61.72% - 38.28%,21.37
6590,4085,61.73% - 38.27%,21.36
6591,4084,61.74% - 38.26%,21.35
6592,4083,61.75% - 38.25%,21.34
6593,4082,61.76% - 38.24%,21.33
6594,4081,61.77% - 38.23%,21.32
6595,4080,61.78% - 38.22%,21.31
6596,4079,61.79% - 38.21%,21.3
6597,4078,61.8% - 38.2%,21.29
6598,4077,61.81% - 38.19%,21.28
6599,4076,61.82% - 38.18%,21.27
6600,4075,61.83% - 38.17%,21.26
6601,4074,61.84% - 38.16%,21.26
6602,4073,61.85% - 38.15%,21.25
6603,4072,61.85% - 38.15%,21.24
6604,4071,61.86% - 38.14%,21.23
6605,4070,61.87% - 38.13%,21.22
6606,4069,61.88% - 38.12%,21.21
6607,4068,61.89% - 38.11%,21.2
6608,4067,61.9% - 38.1%,21.19
6609,4066,61.91% - 38.09%,21.18
6610,4065,61.92% - 38.08%,21.17
6611,4064,61.93% - 38.07%,21.16
6612,4063,61.94% - 38.06%,21.15
6613,4062,61.95% - 38.05%,21.14
6614,4061,61.96% - 38.04%,21.14
6615,4060,61.97% - 38.03%,21.13
6616,4059,61.98% - 38.02%,21.12
6617,4058,61.99% - 38.01%,21.11
6618,4057,62.0% - 38.0%,21.1
6619,4056,62.0% - 38.0%,21.09
6620,4055,62.01% - 37.99%,21.08
6621,4054,62.02% - 37.98%,21.07
6622,4053,62.03% - 37.97%,21.06
6623,4052,62.04% - 37.96%,21.05
6624,4051,62.05% - 37.95%,21.04
6625,4050,62.06% - 37.94%,21.03
6626,4049,62.07% - 37.93%,21.02
6627,4048,62.08% - 37.92%,21.02
6628,4047,62.09% - 37.91%,21.01
6629,4046,62.1% - 37.9%,21.0
6630,4045,62.11% - 37.89%,20.99
6631,4044,62.12% - 37.88%,20.98
6632,4043,62.13% - 37.87%,20.97
6633,4042,62.14% - 37.86%,20.96
6634,4041,62.15% - 37.85%,20.95
6635,4040,62.15% - 37.85%,20.94
6636,4039,62.16% - 37.84%,20.93
6637,4038,62.17% - 37.83%,20.92
6638,4037,62.18% - 37.82%,20.91
6639,4036,62.19% - 37.81%,20.9
6640,4035,62.2% - 37.8%,20.9
6641,4034,62.21% - 37.79%,20.89
6642,4033,62.22% - 37.78%,20.88
6643,4032,62.23% - 37.77%,20.87
6644,4031,62.24% - 37.76%,20.86
6645,4030,62.25% - 37.75%,20.85
6646,4029,62.26% - 37.74%,20.84
6647,4028,62.27% - 37.73%,20.83
6648,4027,62.28% - 37.72%,20.82
6649,4026,62.29% - 37.71%,20.81
6650,4025,62.3% - 37.7%,20.8
6651,4024,62.3% - 37.7%,20.79
6652,4023,62.31% - 37.69%,20.78
6653,4022,62.32% - 37.68%,20.77
6654,4021,62.33% - 37.67%,20.77
6655,4020,62.34% - 37.66%,20.76
6656,4019,62.35% - 37.65%,20.75
6657,4018,62.36% - 37.64%,20.74
6658,4017,62.37% - 37.63%,20.73
6659,4016,62.38% - 37.62%,20.72
6660,4015,62.39% - 37.61%,20.71
6661,4014,62.4% - 37.6%,20.7
6662,4013,62.41% - 37.59%,20.69
6663,4012,62.42% - 37.58%,20.68
6664,4011,62.43% - 37.57%,20.67
6665,4010,62.44% - 37.56%,20.66
